id,code,name,location_id,game_index,enabled
1,canalave-city-area,卡纳拉夫城,1,1,true
2,eterna-city-area,绮年华城,2,2,true
3,pastoria-city-area,帕斯托里亚市,3,3,true
4,sunyshore-city-area,阳光海岸城,4,4,true
5,sinnoh-pokemon-league-area,神奥联赛,5,5,true
6,oreburgh-mine-1f,奥勒堡矿山（1层）,6,6,true
7,oreburgh-mine-b1f,奥勒堡矿山（地下1层）,6,7,true
8,valley-windworks-area,山谷风厂,7,8,true
9,eterna-forest-area,永恒森林,8,9,true
10,fuego-ironworks-area,富埃戈钢铁厂,9,10,true
11,mt-coronet-1f-route-207,皇冠山 (207路1楼),10,11,true
12,mt-coronet-2f,皇冠山 (2层),10,12,true
13,mt-coronet-3f,皇冠山 (3层),10,13,true
14,mt-coronet-exterior-snowfall,皇冠山（外部降雪）,10,14,true
15,mt-coronet-exterior-blizzard,皇冠山（外部暴风雪）,10,15,true
16,mt-coronet-4f,皇冠山 (4层),10,16,true
17,mt-coronet-4f-small-room,皇冠山（4楼小房间）,10,17,true
18,mt-coronet-5f,皇冠山 (5层),10,18,true
19,mt-coronet-6f,皇冠山 (6层),10,19,true
20,mt-coronet-1f-from-exterior,皇冠山（从外部看1层）,10,20,true
21,mt-coronet-1f-route-216,皇冠山 (216路1楼),10,21,true
22,mt-coronet-1f-route-211,皇冠山 (211路1楼),10,22,true
23,mt-coronet-b1f,皇冠山 (地下1层),10,23,true
24,great-marsh-area-1,大沼泽地区 1,11,24,true
25,great-marsh-area-2,大沼泽地区 2,11,25,true
26,great-marsh-area-3,大沼泽区 3,11,26,true
27,great-marsh-area-4,大沼泽4区,11,27,true
28,great-marsh-area-5,大沼泽5区,11,28,true
29,great-marsh-area-6,大沼泽6区,11,29,true
30,solaceon-ruins-2f,索拉西翁遗迹（2层）,12,30,true
31,solaceon-ruins-1f,索拉西翁遗迹（1层）,12,31,true
32,solaceon-ruins-b1f-a,索拉森遗址 (地下1层 A),12,32,true
33,solaceon-ruins-b1f-b,索拉西翁遗址 (地下1层 B),12,33,true
34,solaceon-ruins-b1f-c,索拉西翁遗址 (地下1层 C),12,34,true
35,solaceon-ruins-b2f-a,索拉森遗址 (地下2层 A),12,35,true
36,solaceon-ruins-b2f-b,索拉西翁遗址 (地下2层 B),12,36,true
37,solaceon-ruins-b2f-c,索拉西翁遗址 (地下2层 C),12,37,true
38,solaceon-ruins-b3f-a,索拉森遗址 (地下3层 A),12,38,true
39,solaceon-ruins-b3f-b,索拉森遗迹 (地下3层 B),12,39,true
40,solaceon-ruins-b3f-c,索拉森遗址 (地下3层 C),12,40,true
41,solaceon-ruins-b3f-d,索拉森遗迹 (地下3层 D),12,41,true
42,solaceon-ruins-b3f-e,索拉森废墟 (地下3层 E),12,42,true
43,solaceon-ruins-b4f-a,索拉森遗址 (地下4层 A),12,43,true
44,solaceon-ruins-b4f-b,索拉森遗迹 (地下4层 B),12,44,true
45,solaceon-ruins-b4f-c,索拉森遗址 (地下4层 C),12,45,true
46,solaceon-ruins-b4f-d,索拉森遗址 (地下4层 D),12,46,true
47,solaceon-ruins-b5f,索拉西翁遗迹 (地下5层),12,47,true
48,sinnoh-victory-road-1f,胜利路(1楼),13,48,true
49,sinnoh-victory-road-2f,胜利路(2楼),13,49,true
50,sinnoh-victory-road-b1f,胜利路 (地下1层),13,50,true
51,sinnoh-victory-road-inside-b1f,胜利路(地下1层内),13,51,true
52,sinnoh-victory-road-inside,胜利路（内）,13,52,true
53,sinnoh-victory-road-inside-exit,胜利路（内侧出口）,13,53,true
54,ravaged-path-area,蹂躏之路,14,54,true
55,oreburgh-gate-1f,奥勒堡门 (1层),15,55,true
56,oreburgh-gate-b1f,奥勒堡门 (地下1层),15,56,true
57,stark-mountain-area,斯塔克山外景,16,57,true
58,stark-mountain-entrance,史塔克山入口,16,58,true
59,stark-mountain-inside,斯塔克山主洞,16,59,true
60,sendoff-spring-area,送别春天,178,60,true
61,turnback-cave-pillar-1,折返洞（1号柱）,18,61,true
62,turnback-cave-pillar-2,折返洞（2号柱）,18,62,true
63,turnback-cave-pillar-3,折返洞（3号柱）,18,63,true
64,turnback-cave-before-pillar-1,折返洞（1号柱前）,18,64,true
70,turnback-cave-between-pillars-1-and-2,折返洞（1号柱和2号柱之间）,18,70,true
76,turnback-cave-between-pillars-2-and-3,折返洞（2号柱和3号柱之间）,18,76,true
